#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Standard_A4_v2","CpuArchitectureType","x64"
"Standard_A4_v2","LowPriorityCapable","True"
"Standard_A4_v2","PremiumIO","False"
"Standard_A4_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A4_v2","vCPUsAvailable","4"
"Standard_A4_v2","ACUs","100"
"Standard_A4_v2","vCPUsPerCore","1"
"Standard_A4_v2","CombinedTempDiskAndCachedIOPS","4000"
"Standard_A4_v2","CombinedTempDiskAndCachedReadBytesPerSecond","83886080"
"Standard_A4_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","41943040"
"Standard_A4_v2","EphemeralOSDiskSupported","False"
"Standard_A4_v2","EncryptionAtHostSupported","False"
"Standard_A4_v2","CapacityReservationSupported","False"
"Standard_A4_v2","AcceleratedNetworkingEnabled","False"
"Standard_A4_v2","RdmaEnabled","False"
"Standard_A4_v2","MaxNetworkInterfaces","4"
"Standard_A5","MaxResourceVolumeMB","138240"
"Standard_A5","OSVhdSizeMB","1047552"
"Standard_A5","vCPUs","2"
"Standard_A5","MemoryPreservingMaintenanceSupported","True"
"Standard_A5","HyperVGenerations","V1"
"Standard_A5","MemoryGB","14"
"Standard_A5","MaxDataDiskCount","4"
"Standard_A5","CpuArchitectureType","x64"
"Standard_A5","LowPriorityCapable","True"
"Standard_A5","PremiumIO","False"
"Standard_A5","VMDeploymentTypes","IaaS,PaaS"
"Standard_A5","vCPUsAvailable","2"
"Standard_A5","ACUs","100"
"Standard_A5","vCPUsPerCore","1"
"Standard_A5","EphemeralOSDiskSupported","False"
"Standard_A5","EncryptionAtHostSupported","False"
"Standard_A5","CapacityReservationSupported","False"
"Standard_A5","AcceleratedNetworkingEnabled","False"
"Standard_A5","RdmaEnabled","False"
"Standard_A5","MaxNetworkInterfaces","2"
"Standard_A6","MaxResourceVolumeMB","291840"
"Standard_A6","OSVhdSizeMB","1047552"
"Standard_A6","vCPUs","4"
"Standard_A6","MemoryPreservingMaintenanceSupported","True"
"Standard_A6","HyperVGenerations","V1"
"Standard_A6","MemoryGB","28"
"Standard_A6","MaxDataDiskCount","8"
"Standard_A6","CpuArchitectureType","x64"
"Standard_A6","LowPriorityCapable","True"
"Standard_A6","PremiumIO","False"
"Standard_A6","VMDeploymentTypes","IaaS,PaaS"
"Standard_A6","vCPUsAvailable","4"
"Standard_A6","ACUs","100"
"Standard_A6","vCPUsPerCore","1"
"Standard_A6","EphemeralOSDiskSupported","False"
"Standard_A6","EncryptionAtHostSupported","False"
"Standard_A6","CapacityReservationSupported","False"
"Standard_A6","AcceleratedNetworkingEnabled","False"
"Standard_A6","RdmaEnabled","False"
"Standard_A6","MaxNetworkInterfaces","2"
"Standard_A7","MaxResourceVolumeMB","619520"
"Standard_A7","OSVhdSizeMB","1047552"
"Standard_A7","vCPUs","8"
"Standard_A7","MemoryPreservingMaintenanceSupported","True"
"Standard_A7","HyperVGenerations","V1"
"Standard_A7","MemoryGB","56"
"Standard_A7","MaxDataDiskCount","16"
"Standard_A7","CpuArchitectureType","x64"
"Standard_A7","LowPriorityCapable","True"
"Standard_A7","PremiumIO","False"
"Standard_A7","VMDeploymentTypes","IaaS,PaaS"
"Standard_A7","vCPUsAvailable","8"
"Standard_A7","ACUs","100"
"Standard_A7","vCPUsPerCore","1"
"Standard_A7","EphemeralOSDiskSupported","False"
"Standard_A7","EncryptionAtHostSupported","False"
"Standard_A7","CapacityReservationSupported","False"
"Standard_A7","AcceleratedNetworkingEnabled","False"
"Standard_A7","RdmaEnabled","False"
"Standard_A7","MaxNetworkInterfaces","4"
"Standard_A8m_v2","MaxResourceVolumeMB","81920"
"Standard_A8m_v2","OSVhdSizeMB","1047552"
"Standard_A8m_v2","vCPUs","8"
"Standard_A8m_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A8m_v2","HyperVGenerations","V1"
"Standard_A8m_v2","MemoryGB","64"
